Date,Revenue,Expenses,Profit
2022-01-01,78575.95763094502,32896.72661897052,45679.2310119745
2022-01-02,51538.96719058344,48801.567776244265,2737.3994143391756
2022-01-03,60630.88674341385,37185.471752538615,23445.414990875237
2022-01-04,56370.40270112279,46490.3581802182,9880.044520904587
2022-01-05,58120.28974944427,33148.2640217552,24972.02572768907
2022-01-06,73375.38880654496,33104.67515599704,40270.713650547914
2022-01-07,73243.07060349255,36110.93626622475,37132.1343372678
2022-01-08,65542.51822020586,46358.54970688929,19183.968513316577
2022-01-09,70721.51070209622,41433.870883399715,29287.6398186965
2022-01-10,66658.70668244507,45744.10560821543,20914.601074229642
2022-01-11,54715.95428490033,42850.495601042785,11865.458683857541
2022-01-12,72778.28861816181,49897.25485863587,22881.03375952594
2022-01-13,60036.963984492904,35163.5267758587,24873.437208634205
2022-01-14,75218.80449762326,40991.51557670532,34227.28892091794
2022-01-15,53796.70427250186,32833.49309376094,20963.211178740923
2022-01-16,64332.80888204954,48577.47261183051,15755.336270219028
2022-01-17,58854.660274082926,46300.70633484956,12553.953939233368
2022-01-18,50753.7581397475,35713.66693144275,15040.091208304751
2022-01-19,78428.59908547593,48192.86913060319,30235.72995487274
2022-01-20,55500.02779228611,31305.444801897782,24194.58299038833
2022-01-21,69715.83646411786,46469.38763858512,23246.448825532745
2022-01-22,66731.7091595931,45118.95895202194,21612.75020757116
2022-01-23,68470.13826477592,38282.474912747355,30187.66335202856
2022-01-24,50263.266385853014,35169.912029785664,15093.35435606735
2022-01-25,62050.100605708474,30809.11044572496,31240.990159983514
2022-01-26,62280.208496771535,34440.4320859653,27839.776410806233
2022-01-27,65546.87812206477,45175.84457297305,20371.033549091713
2022-01-28,61021.25848549337,43805.40652060052,17215.85196489285
2022-01-29,63833.33445301038,31174.587971368925,32658.746481641454
2022-01-30,79423.72351560809,31707.664614035933,47716.05890157215
2022-01-31,62116.31598421261,37955.03390707112,24161.28207714149
2022-02-01,64821.08510989514,34247.43009041995,30573.65501947519
2022-02-02,68441.4579693182,41396.30130468013,27045.156664638074
2022-02-03,62431.32886734168,36154.8477819404,26276.481085401283
2022-02-04,75028.65192776025,43321.245269706094,31707.406658054155
2022-02-05,63543.247659250104,39230.7534475953,24312.494211654805
2022-02-06,66827.54719811061,43613.85448845611,23213.692709654497
2022-02-07,53663.975147526915,33108.10619304851,20555.868954478407
2022-02-08,52522.85459398841,49884.547064609724,2638.3075293786897
2022-02-09,56226.320620004946,31211.190798971347,25015.1298210336
2022-02-10,65394.514162852545,45467.78523408872,19926.728928763827
2022-02-11,73734.91101325338,33417.51498070763,40317.39603254575
2022-02-12,68056.80636024202,30258.289826525088,37798.51653371693
